Species	Folder Genomezoo	Comment	5 letter code
Actinidia chinensis	Archaeplastida		ACTCH.fa
Aegilops tauschii	Archaeplastida		AEGTA.fa
Aethionema arabicum	Archaeplastida		AETAR.fa
Amaranthus hypochondriacus	Archaeplastida		AMAHY.fa
Amborella trichopoda	Archaeplastida		AMBTR.fa
Aquilegia coerulea	Archaeplastida		AQUCO.fa
Arabidopsis lyrata	Archaeplastida		ARALY.fa
Arabidopsis thaliana	Archaeplastida		ARATH.fa
Arabis alpina	Archaeplastida		ARAAL.fa
Azadirachta indica	Archaeplastida		AZAIN.fa
Azolla filiculoides	Archaeplastida		AZOFIhc.fa
Bathycoccus prasinos	Archaeplastida		BATPR.fa
Beta vulgaris	Archaeplastida		BETVUEL.fa
Boechera stricta	Archaeplastida		BOEST.fa
Brachypodium distachyon	Archaeplastida		BRADI.fa
Brachypodium stacei	Archaeplastida		BRAST.fa
Brassica oleracea	Archaeplastida		BRAOL.fa
Brassica rapa	Archaeplastida		BRARA.fa
Cajanus cajan	Archaeplastida		CAJCA.fa
Calliarthron tuberculosum	Archaeplastida		CALTU.fa
Camelina sativa	Archaeplastida		CAMSA.fa
Cannabis sativa	Archaeplastida		CANSA.fa
Capsella grandiflora	Archaeplastida		CAPGR.fa
Capsella rubella	Archaeplastida		CAPRU.fa
Capsicum annuum (spp. glabriusculum)	Archaeplastida		CAPANGL.fa
Capsicum annuum (spp. zunla)	Archaeplastida		CAPANZU.fa
Carica papaya	Archaeplastida		CARPA.fa
Ceratodon purpureus	Archaeplastida		CERPUGG.fa
Chaetosphaeridium globosum	tr/Archaeplastida		CHAGLtr.fa
Chara braunii	Archaeplastida		CHABR.fa
Chlamydomonas reinhardtii	Archaeplastida		CHLRE.fa
Chlorella sp. NC64A	Archaeplastida		CHLSP.fa
Chlorella vulgaris	Archaeplastida		CHLVU.fa
Chlorokybus atmophyticus	Archaeplastida		CHLAT.fa
Chondrus crispus	Archaeplastida		CHOCR.fa
Cicer arietinum	Archaeplastida		CICAR.fa
Citrullus lanatus	Archaeplastida		CITLA.fa
Citrus clementina	Archaeplastida		CITCL.fa
Citrus sinensis	Archaeplastida		CITSI.fa
Coccomyxa subellipsoidea C-169	Archaeplastida	COCSP	COCSP.fa
Coffea canephora	Archaeplastida		COFCA.fa
Coleochaete orbicularis	tr/Archaeplastida		COLORtrCO.fa
Coleochaete sp.	tr/Archaeplastida		COLSPtr.fa
Cucumis melo	Archaeplastida		CUCME.fa
Cucumis sativus	Archaeplastida		CUCSA.fa
Cyanidioschyzon merolae	Archaeplastida		CYAME.fa
Cyanophora paradoxa	Archaeplastida		CYAPA.fa
Dunaliella salina	Archaeplastida		DUNSA.fa
Elaeis guineensis	Archaeplastida		ELAGU.fa
Eragrostis tef	Archaeplastida		ERATE.fa
Eucalyptus grandis	Archaeplastida		EUCGR.fa
Eutrema salsugineum	Archaeplastida		EUTSA.fa
Fragaria vesca	Archaeplastida		FRAVE.fa
Funaria hygrometrica	tr/Archaeplastida		FUNHY15tr.fa
Galdieria sulphuraria	Archaeplastida		GALSU.fa
Glycine max	Archaeplastida		GLYMA.fa
Gonium pectorale	Archaeplastida		GONPE.fa
Gossypium raimondii	Archaeplastida		GOSRA.fa
Hordeum vulgare	Archaeplastida		HORVU.fa
Jatropha curcas	Archaeplastida		JATCU.fa
Kalanchoe laxiflora	Archaeplastida		KALLA.fa
Klebsormidium flaccidum	Archaeplastida		KLEFL.fa
Leavenworthia alabamica	Archaeplastida		LEAAL.fa
Linum usitatissimum	Archaeplastida		LINUS.fa
Lotus japonicus	Archaeplastida		LOTJA.fa
Magnaporthe grisea	Archaeplastida	PYRGR	PYRGR.fa
Malus domestica	Archaeplastida		MALDO.fa
Manihot esculenta	Archaeplastida		MANES.fa
Marchantia polymorpha	Archaeplastida		MARPO.fa
Medicago truncatula	Archaeplastida		MEDTR.fa
Microlepia marginata	tr/Archaeplastida		MICMAtr.fa
Micromonas pusilla CCMP1545	Archaeplastida		MICPUCC.fa
Micromonas sp. RCC299	Archaeplastida		MICPURC.fa
Mimulus guttatus	Archaeplastida		MIMGU.fa
Musa acuminata	Archaeplastida		MUSAC.fa
Musa balbisiana	Archaeplastida		MUSBA.fa
Nelumbo nucifera	Archaeplastida		NELNU.fa
Nicotiana benthamiana	Archaeplastida		NICBE.fa
Nitella hyalina	tr/Archaeplastida		NITHYtr.fa
Oryza sativa (spp. indica)	Archaeplastida		ORYSAIN.fa
Oryza sativa (spp. japonica)	Archaeplastida		ORYSAJA.fa
Ostreococcus lucimarinus	Archaeplastida		OSTLU.fa
Ostreococcus sp. RCC809	Archaeplastida		OSTSP.fa
Ostreococcus tauri	Archaeplastida		OSTTA.fa
Panicum virgatum	Archaeplastida		PANVI.fa
Penium margaritaceum	Archaeplastida		PENMA_5l.fa
Phalaenopsis equestris	Archaeplastida		PHAEQ.fa
Phaseolus vulgaris	Archaeplastida		PHAVU.fa
Phoenix dactylifera	Archaeplastida		PHODA.fa
Phyllostachys heterocycla	Archaeplastida		PHYHE.fa
Physcomitrella patens	Archaeplastida		PHYPAV33.fa
Picea abies	Archaeplastida		PICAB.fa
Picea glauca	Archaeplastida		PICGL.fa
Pinus taeda	Archaeplastida		PINTA.fa
Populus trichocarpa	Archaeplastida		POPTR.fa
Porphyra umbilicalis	Archaeplastida		PORUM.fa
Porphyridium cruentum	tr/Archaeplastida		PORCRtr.fa
Prunus mume	Archaeplastida		PRUMU.fa
Prunus persica	Archaeplastida		PRUPE.fa
Pteridium aquilinum	Archaeplastida		PTEAQpt.fa
Pyropia yezoensis	Archaeplastida		PYRYE.fa
Pyrus bretschneideri	Archaeplastida		PYRBR.fa
Pyrus communis	Archaeplastida		PYRCO.fa
Raphanus raphanistrum	Archaeplastida		RAPRA.fa
Raphanus sativus	Archaeplastida		RAPSA.fa
Ricinus communis	Archaeplastida		RICCO.fa
Salix purpurea	Archaeplastida		SALPU.fa
Salvinia cucullata	Archaeplastida		SALCUhc.fa
Selaginella moellendorffii	Archaeplastida		SELMO.fa
Setaria italica	Archaeplastida		SETIT.fa
Setaria viridis	Archaeplastida		SETVI.fa
Sisymbrium irio	Archaeplastida		SISIR.fa
Solanum lycopersicum	Archaeplastida		SOLLY.fa
Solanum melongena	Archaeplastida		SOLME.fa
Solanum pennellii	Archaeplastida		SOLPE.fa
Solanum tuberosum	Archaeplastida		SOLTU.fa
Sorghum bicolor	Archaeplastida		SORBI.fa
Sphagnum fallax	Archaeplastida		SPHFA.fa
Spirodela polyrhiza	Archaeplastida		SPIPO.fa
Spirogyra pratensis	tr/Archaeplastida		SPIPRtrTI.fa
Tarenaya hassleriana	Archaeplastida		TARHA.fa
Thellungiella halophila	Archaeplastida		THEHA.fa
Thellungiella parvula	Archaeplastida		THEPA.fa
Theobroma cacao	Archaeplastida		THECA.fa
Triticum aestivum	Archaeplastida		TRIAE.fa
Triticum urartu	Archaeplastida		TRIUR.fa
Utricularia gibba	Archaeplastida		UTRGI.fa
Vitis vinifera	Archaeplastida		VITVI.fa
Volvox carteri	Archaeplastida		VOLCA.fa
Zea mays	Archaeplastida		ZEAMA.fa
Zostera marina	Archaeplastida		ZOSMA.fa
Spirogyra sp.	Archaeplastida		SPISP.fa
Ginkgo biloba	Archaeplastida		GINBI.fa
Gracilariopsis chorda	Archaeplastida		GRACH.fa
Porphyridium purpureum	Archaeplastida		PORPU.fa
Cyanidium caldarium	Archaeplastida		CYACA.fa
Galdieria phlegrea	Archaeplastida		GALPH.fa
Prasinoderma coloniale	Archaeplastida		PRACO.fa
Anthoceros agrestis	Archaeplastida		ANTAG.fa
Spirogloea muscicola	Archaeplastida		SPIMU.fa
Zygnema circumcarinatum	Archaeplastida		ZYGCI.fasta
Mesostigma viride	Archaeplastida		MESVINI.fa
Ulva mutabilis	Archaeplastida		ULVMU.fa
Goniomonas avonlea	Archaeplastida		GONAV.fa
Guillardia theta	Archaeplastida		GUITH.fa
Mesotaenium endlicherianum	Archaeplastida		MESEN.fasta
Takakia lepidozioides	Archaeplastida		TAKLE.fa
